Name,Synonym,CAS,SMILES,CID
Lapatinib ditosylate monohydrate,Lapatinib ditoluenesulfonate monohydrate; Lapatinib tosilate; Lapatinib tosilate hydrate; Tykerb; Tyverb,388082-78-8,n1cnc(c2cc(ccc12)c1oc(cc1)CNCCS(=O)(=O)C)Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl.c1(ccc(cc1)C)S(=O)(=O)O.O.c1(ccc(cc1)C)S(=O)(=O)O,
Capsaicin,8-Methyl-N-vanillyl-trans-6-nonenamide; (E)-Capsaicin; Qutenza; Vanilloid; Zostrix,404-86-4,c1(cc(c(cc1)O)OC)CNC(=O)CCCC/C=C/C(C)C,
Sunitinib,SU 11248,557795-19-4,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C/2\C(=O)Nc3c2cc(F)cc3)c1C,
Ellipticine,NSC 71795; Elliptisine,519-23-3,Cc1c2[nH]c3ccccc3c2c(C)c2cnccc12,
Irinotecan Hydrochloride,Camptothecin 11 hydrochloride; CPT-11 hydrochloride,100286-90-6,Cl.CCc1c2cc(OC(=O)N3CCC(CC3)N3CCCCC3)ccc2nc2c1Cn1c2cc2c(COC(=O)[C@]2(O)CC)c1=O,
Sodium butanoate,Butanoic acid sodium salt; Sodium Butyrate,156-54-7,[Na+].CCCC(=O)[O-],
Dasatinib monohydrate,BMS-354825 Monohydrate,863127-77-9,n1cc(sc1Nc1nc(nc(N2CCN(CC2)CCO)c1)C)C(=O)Nc1c(cccc1C)Cl.O,
Ibandronic acid,Bonviva; Bondronat; Boniva,114084-78-5,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,
Imatinib Mesylate,STI-571; CGP-57148B; ST-1571 Mesylate,220127-57-1,CS(O)(=O)=O.CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1,
SCR7 pyrazine,SCR7,14892-97-8,O=c1[nH]c(=S)[nH]c2c1nc(c1ccccc1)c(n2)c1ccccc1,
BMH-21,BMH21; BMH 21; BMH-21,896705-16-1,CN(C)CCNC(=O)c1cccn2c1nc1cc3ccccc3cc1c2=O,
7ACC2,,1472624-85-3,CN(Cc1ccccc1)c1cc2c(cc1)cc(C(=O)O)c(=O)o2,
GSK503,,1346572-63-1,CC(C)n1cc(C)c2c(cc(cc12)c1cnc(cc1)N1CCN(C)CC1)C(=O)NCc1c(C)cc(C)[nH]c1=O,
CID 2011756,CID2011756; CID 2011756; CID-2011756,638156-11-3,Clc1cccc(c1)-c1ccc(o1)C(=O)Nc1ccc(CN2CCOCC2)cc1,
Ansamitocin P 3',Ansamitocin P-3'; Maytansinol butyrate; Ansamitocin P 3'; Antibiotic C 15003P3',66547-09-9,CCCC(=O)O[C@H]1CC(=O)N(C)c2cc(C\C(C)=C\C=C\[C@@H](OC)[C@@]3(O)C[C@H](OC(=O)N3)[C@@H](C)[C@@H]3O[C@@]13C)cc(OC)c2Cl,
BIX-01294 trihydrochloride,BIX 01294 Trihydrochloride; BIX 01294,1392399-03-9,Cl.COc1c(OC)cc2c(NC3CCN(Cc4ccccc4)CC3)nc(nc2c1)N1CCCN(C)CC1.Cl.Cl,
kb NB 142-70,,1233533-04-4,Oc1cc2c(sc3c2SCCNC3=O)cc1,
