,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS.1,Hit
Mupirocin,12.05413057,12.05413057,0.016026538,-1.06017789,0.108655686,30.51428571,500.629,456.277,500.298533,202,0,1.028571429,1.685714286,2.342857143,3.554535639,1.61507222,692.3099433,25.95745468,21.30442285,21.30442285,16.59513191,12.9671837,12.9671837,10.21499274,10.21499274,7.090840517,7.090840517,4.589106345,4.589106345,-1.52,46042084.97,29.70865402,14.89886652,10.55025967,208.0021534,34.63669844,6.103966388,0,0,0,11.93861058,4.794537184,4.794537184,0,0,38.18012822,39.53076089,24.33265382,43.73359587,44.22577281,11.93861058,0,0,11.83581209,115.1824045,13.21376393,11.64912464,0,0,0,0,0,82.20228241,23.79966323,11.83581209,78.55860621,11.64912464,0,0,146.05,36.35447613,24.90865655,0,30.46456649,38.04933333,32.10410811,6.076020107,13.8474744,6.9237372,0,19.31711626,16.71900964,0,22.51096572,39.4698355,0.707850887,-1.421955429,0,4.614026473,6.066933873,0,0.846153846,35,4,9,0,2,2,0,0,0,8,4,9,16,0,2,2,2,2.5925,128.6542,1,3,3,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,30.51428571,TRUE
Docetaxel,14.94548197,14.94548197,0.063719049,-2.353438114,0.146809486,33.68965517,807.89,754.466,807.3466054,314,0,0.948275862,1.551724138,2.103448276,3.144412387,1.485705767,1976.328971,42.74998342,33.88496248,33.88496248,26.99041484,19.33466299,19.33466299,17.57384661,17.57384661,12.56716789,12.56716789,9.559609693,9.559609693,-4.67,1.46401E+12,42.92290433,15.17169409,7.099650361,336.1909091,49.42721295,35.61796717,17.48826215,0,0,24.00115593,9.589074368,14.38361155,0,0,62.37841095,63.46108069,25.18037091,35.64903719,68.08311027,29.78440088,0,5.316788604,16.74788698,127.7003324,6.606881965,82.93678273,0,5.316788604,4.794537184,0,0,110.2443432,38.06792632,16.74788698,90.19482184,71.80987974,0,0,224.45,112.4219011,44.3987955,0,29.73736414,5.563451492,6.9237372,25.98020854,83.14962255,0,5.316788604,23.68431477,29.50785936,0,68.90980717,51.56241389,-8.135526396,-5.363479983,14.6274607,-11.48233065,11.79046257,0,0.558139535,58,5,15,3,1,4,2,0,2,14,5,15,8,2,1,3,6,3.2596,203.6044,0,4,3,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,5,0,0,3,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.68965517,TRUE
Columbianadin,12.07043943,12.07043943,0.349801587,-0.817686839,0.490776987,17.5,328.364,308.204,328.1310737,126,0,1.291666667,2,2.708333333,2.98814654,1.903964907,888.2555568,17.48276318,14.21244985,14.21244985,11.31369893,7.902440702,7.902440702,6.490308735,6.490308735,4.394479941,4.394479941,2.746783259,2.746783259,-2.56,279585.931,16.30314343,5.817235906,2.817149049,139.4220061,13.89087684,23.03754917,0,0,0,11.59489161,0,9.589074368,0,0,6.076020107,45.89405,29.00996893,0,18.68541403,16.93854964,0,0,0,45.82078762,0,51.89816791,5.749511833,10.36244927,0,5.749511833,0,17.67432249,15.95222176,0,33.25840029,45.12628103,0,10.96924436,65.74,11.22663713,9.589074368,0,12.07327168,23.32645813,10.94967571,6.066367068,25.98986157,25.98020854,0,13.89087684,16.94192796,0,23.6025988,0.844594112,0.710201129,0.298310789,6.831512016,1.872050745,7.148804454,0,0.368421053,24,0,5,0,1,1,1,1,2,5,0,5,3,0,0,0,3,3.3845,90.206,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,TRUE
Perillyl alcohol,8.825171485,8.825171485,0.238998488,0.238998488,0.601759236,24.54545455,152.237,136.109,152.1201151,62,0,1.818181818,2.545454545,2.909090909,2.045606035,2.474651016,179.3117986,8.267584714,7.13744804,7.13744804,5.236382105,4.178983078,4.178983078,3.338139809,3.338139809,2.404971521,2.404971521,1.479655798,1.479655798,-0.56,335.4793898,8.535785441,3.722702664,2.191912803,68.43292659,5.106527395,0,0,0,0,0,0,0,0,0,18.22806032,37.67721264,0,6.606881965,5.106527395,0,0,0,5.917906046,26.18620207,6.606881965,23.80116485,0,0,0,0,0,11.71340936,0,5.917906046,26.18620207,23.80116485,0,0,20.23,0,0,0,6.606881965,5.917906046,12.84164325,17.56703068,0,0,19.57869299,5.106527395,0,0,0,8.825171485,2.472907218,0.657685185,0,5.448240741,6.262662037,0,0.6,11,1,1,1,0,1,0,0,0,1,1,1,2,0,0,0,1,2.2813,47.3238,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.54545455,TRUE
Arecaidine hydrochloride,10.4049537,10.4049537,0,-0.785601852,0.643000394,18.45454545,177.631,165.535,177.0556563,64,0,1.727272727,2.363636364,2.727272727,1.875713552,1.00E-06,179.2793871,7.560477932,6.409594385,7.226090966,4.698377303,3.307876886,3.307876886,2.560973263,2.560973263,1.616519662,1.616519662,1.04850965,1.04850965,-0.54,178.1927874,10.46,4.361097316,2.905886662,72.1021523,10.00643713,0,0,0,0,5.969305288,0,4.794537184,0,12.40703316,6.076020107,13.46849361,18.66261734,0,9.901064579,18.37633845,0,4.899909731,0,6.420821623,20.13718479,11.64912464,0,0,0,0,12.40703316,36.11292721,4.794537184,0,6.420821623,11.64912464,0,0,40.54,5.969305288,4.794537184,0,12.40703316,12.11786094,12.96557803,0,6.076020107,11.94758171,0,5.106527395,0,0,12.40837963,8.561064815,0.521990741,-0.785601852,0,2.653240741,1.547731481,1.926527778,0.571428571,11,1,3,0,1,1,0,0,0,2,1,4,1,0,0,0,1,0.7547,45.0808,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45454545,TRUE
Dronedarone,13.67614357,13.67614357,0.147778908,-3.448715757,0.133407036,11.82051282,556.769,512.417,556.2970935,214,0,0.897435897,1.538461538,2.153846154,3.269532964,1.712970762,1290.510548,28.25250161,23.9234366,24.73993318,18.75086332,14.28383559,16.17524713,10.19322222,11.94167741,6.708301362,7.314794434,4.612087182,5.167206479,-2.84,366895480.5,30.6979534,15.08028068,9.391807871,233.5140461,14.05392362,17.09277939,5.783244946,10.02329115,0,0,9.516632049,8.417796984,0,0,40.03367647,81.23736878,29.60264001,18.42610264,22.36634806,32.46316673,0,4.899909731,0,72.13778458,37.21901523,59.35171988,5.749511833,9.458957818,5.687386275,5.749511833,0,51.59787203,16.44411278,0,87.39865055,46.88172042,0,10.96924436,88.85,10.02329115,13.21233417,0,5.783244946,46.57148462,50.9020151,25.68328649,30.33183534,12.13273414,30.39321619,9.154013891,38.02982234,0,16.20426681,0.607203518,1.988025515,1.220272499,12.2642051,9.40302751,10.48189247,-3.448715757,0.516129032,39,1,7,0,0,0,2,1,3,6,1,8,18,0,0,0,3,7.049,159.535,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.82051282,TRUE
Cucurbitacin B,14.29893697,14.29893697,0.028419837,-1.992201442,0.264839316,42.4,558.712,512.344,558.3192684,222,0,1.05,1.65,2.225,3.007207476,1.747277585,1207.160663,30.43035694,25.33011152,25.33011152,18.06972798,14.37006909,14.37006909,14.75001222,14.75001222,11.5499851,11.5499851,9.39913784,9.39913784,-2.16,179841790.9,30.79065332,9.169021185,4.113392555,236.7922608,20.05644514,23.08931296,11.56648989,0,0,5.969305288,19.17814874,0,0,0,32.42033624,88.69898411,30.09244581,6.103966388,39.23459387,23.31904013,0,0,39.41368002,111.4069557,0,23.80116485,0,0,0,0,0,62.04865671,23.91501169,39.41368002,87.99692129,23.80116485,0,0,138.2,62.74045256,34.49773092,0,36.24394523,12.84164325,5.57310453,25.99951461,13.8474744,27.6949488,12.99975731,4.736862954,5.227599909,0,52.0622435,33.99273835,-5.430655687,-2.854896416,0,3.553961663,15.44900868,0,0.75,40,3,8,4,0,4,0,0,0,8,3,8,5,3,0,3,4,3.4993,147.7664,0,3,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4,TRUE
Timosaponin AIII,11.14826334,11.14826334,0.167773126,-1.707388512,0.193594079,59.01923077,740.928,676.416,740.4346921,298,0,0.673076923,1.365384615,2.057692308,3.57770439,0.941781267,1262.449167,36.90468396,31.24202818,31.24202818,24.74002217,20.29940962,20.29940962,18.71170428,18.71170428,16.17541992,16.17541992,13.19463898,13.19463898,-0.52,4.40025E+11,38.35857834,14.14299281,5.977657611,306.8013098,64.16686949,48.8317311,18.36716461,0,0,0,0,0,0,0,27.6949488,104.1248118,12.33872767,32.02857867,64.16686949,0,0,0,52.25532326,171.3099935,19.82064589,0,0,0,0,0,0,134.9731661,28.42117772,52.25532326,91.90316503,0,0,0,196.99,80.41265964,35.74569176,0,23.03791371,41.42534232,45.1318117,25.68328649,0,0,27.6949488,28.42117772,37.51969343,0,0,72.67499526,0.425328715,3.506532801,0,-3.877615101,9.334398228,0,1,52,7,13,4,4,8,0,0,0,13,7,13,6,4,4,8,8,1.4422,182.9916,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.01923077,TRUE
Scutellarein,12.06202066,12.06202066,0.057060185,-0.771126458,0.510622347,10.85714286,286.239,276.159,286.047738,106,0,0.857142857,1.523809524,2.19047619,2.446414177,2.311955688,892.666285,15.14589989,10.56945258,10.56945258,9.969234251,5.98286737,5.98286737,4.487817548,4.487817548,3.098263546,3.098263546,2.046841678,2.046841678,-3.15,60602.572,12.86225184,4.447829199,2.023723431,117.3134358,24.84326052,22.47900361,16.92781406,5.749511833,0,0,4.794537184,0,0,0,0,24.26546827,17.69618563,0,24.84326052,10.96924436,0,0,0,0,0,46.62152999,34.32174624,5.428790392,0,22.99804733,0,20.42610958,0,0,0,45.60989053,0,22.29294327,111.13,22.67732589,25.22064676,0,22.47900361,5.563451492,12.13273414,12.13273414,12.13273414,0,0,4.417150937,5.472451814,0,12.06202066,37.66579154,-0.079301304,-1.811775204,8.190812495,0,0,0,0,21,4,6,0,0,0,2,1,3,6,4,6,1,0,0,0,3,2.2824,74.5792,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85714286,TRUE
Combretastatin A4,9.805772933,9.805772933,0.096798173,0.096798173,0.825297535,10.60869565,316.353,296.193,316.1310737,122,0,0.695652174,1.260869565,1.739130435,2.584111703,2.335426901,681.5483998,16.81962648,13.62165864,13.62165864,11.12125346,6.976514553,6.976514553,4.723292816,4.723292816,3.358198879,3.358198879,2.200724345,2.200724345,-2.82,151080.0907,16.54879804,7.445018573,3.687788949,135.2369616,24.05397921,0,22.99804733,5.749511833,0,0,0,0,0,0,18.21840728,35.39237126,0,28.43919017,24.05397921,12.15204021,0,0,0,0,28.43919017,41.45873833,28.74755917,18.94745182,0,28.74755917,0,33.54571756,0,0,11.12690298,30.33183534,0,12.15204021,57.15,0,5.106527395,0,5.749511833,22.99804733,11.12690298,7.109797541,33.46212676,30.35114142,0,18.94745182,20.97480323,0,0,9.805772933,1.728573686,2.260996456,8.895857479,3.769423658,0,6.231239227,0.222222222,23,1,5,0,0,0,2,0,2,5,1,5,6,0,0,0,2,3.597,89.6848,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.60869565,TRUE
